id,label,type,canonical_id,domain,description
DREAM_PARTNERSHIP,DREAM_PARTNERSHIP,dream_concept,,dream,DREAM_PARTNERSHIP conceptual alias node.
DREAM_PEOPLE_COUNT,DREAM_PEOPLE_COUNT,dream_concept,,dream,DREAM_PEOPLE_COUNT conceptual alias node.
DREAM_PERFORMANCE,DREAM_PERFORMANCE,dream_concept,,dream,DREAM_PERFORMANCE conceptual alias node.
DREAM_POWER,DREAM_POWER,dream_concept,,dream,DREAM_POWER conceptual alias node.
DREAM_RECURRING_COUNT,DREAM_RECURRING_COUNT,dream_concept,,dream,DREAM_RECURRING_COUNT conceptual alias node.
DREAM_RELEASE,DREAM_RELEASE,dream_concept,,dream,DREAM_RELEASE conceptual alias node.
DREAM_SELF,DREAM_SELF,dream_concept,,dream,DREAM_SELF conceptual alias node.
DREAM_SELF_만다라,DREAM_SELF_만다라,dream_concept,,dream,DREAM_SELF_만다라 conceptual alias node.
DREAM_SHADOW_쫓기는꿈,DREAM_SHADOW_쫓기는꿈,dream_concept,,dream,DREAM_SHADOW_쫓기는꿈 conceptual alias node.
DREAM_SOLITUDE,DREAM_SOLITUDE,dream_concept,,dream,DREAM_SOLITUDE conceptual alias node.
DREAM_SPIRITUAL,DREAM_SPIRITUAL,dream_concept,,dream,DREAM_SPIRITUAL conceptual alias node.
DREAM_STRUCTURE,DREAM_STRUCTURE,dream_concept,,dream,DREAM_STRUCTURE conceptual alias node.
DREAM_TEACHING,DREAM_TEACHING,dream_concept,,dream,DREAM_TEACHING conceptual alias node.
DREAM_UNIVERSAL,DREAM_UNIVERSAL,dream_concept,,dream,DREAM_UNIVERSAL conceptual alias node.
DREAM_VOICE,DREAM_VOICE,dream_concept,,dream,DREAM_VOICE conceptual alias node.
DREAM_WISDOM,DREAM_WISDOM,dream_concept,,dream,DREAM_WISDOM conceptual alias node.
DS_가을,DS_가을,dream_concept,,dream,DS_가을 conceptual alias node.
DS_감옥,DS_감옥,dream_concept,,dream,DS_감옥 conceptual alias node.
DS_강,DS_강,dream_concept,,dream,DS_강 conceptual alias node.
DS_개,DS_개,dream_concept,,dream,DS_개 conceptual alias node.
DS_거북,DS_거북,dream_concept,,dream,DS_거북 conceptual alias node.
DS_겨울,DS_겨울,dream_concept,,dream,DS_겨울 conceptual alias node.
DS_경찰,DS_경찰,dream_concept,,dream,DS_경찰 conceptual alias node.
DS_계단,DS_계단,dream_alias,DS_stairs,dream,DS_계단 alias of DS_stairs.
DS_계단_내림,DS_계단_내림,dream_alias,DS_stairs,dream,DS_계단_내림 alias of DS_stairs.
DS_계단_오름,DS_계단_오름,dream_alias,DS_stairs,dream,DS_계단_오름 alias of DS_stairs.
DS_고독,DS_고독,dream_concept,,dream,DS_고독 conceptual alias node.
DS_공포,DS_공포,dream_concept,,dream,DS_공포 conceptual alias node.
DS_교회,DS_교회,dream_concept,,dream,DS_교회 conceptual alias node.
DS_구름,DS_구름,dream_concept,,dream,DS_구름 conceptual alias node.
DS_금,DS_금,dream_concept,,dream,DS_금 conceptual alias node.
DS_금은보화,DS_금은보화,dream_concept,,dream,DS_금은보화 conceptual alias node.
DS_기쁨,DS_기쁨,dream_concept,,dream,DS_기쁨 conceptual alias node.
DS_기차,DS_기차,dream_concept,,dream,DS_기차 conceptual alias node.
DS_길_넓은,DS_길_넓은,dream_concept,,dream,DS_길_넓은 conceptual alias node.
DS_길_좁은,DS_길_좁은,dream_concept,,dream,DS_길_좁은 conceptual alias node.
DS_나무_시든,DS_나무_시든,dream_alias,DS_나무,dream,DS_나무_시든 alias of DS_나무.
DS_나무_푸른,DS_나무_푸른,dream_alias,DS_나무,dream,DS_나무_푸른 alias of DS_나무.
DS_나체,DS_나체,dream_concept,,dream,DS_나체 conceptual alias node.
DS_낙상,DS_낙상,dream_concept,,dream,DS_낙상 conceptual alias node.
DS_노인,DS_노인,dream_concept,,dream,DS_노인 conceptual alias node.
DS_다리,DS_다리,dream_concept,,dream,DS_다리 conceptual alias node.
DS_달,DS_달,dream_concept,,dream,DS_달 conceptual alias node.
DS_닭,DS_닭,dream_concept,,dream,DS_닭 conceptual alias node.
DS_도망,DS_도망,dream_concept,,dream,DS_도망 conceptual alias node.
DS_돌,DS_돌,dream_concept,,dream,DS_돌 conceptual alias node.
DS_땅,DS_땅,dream_concept,,dream,DS_땅 conceptual alias node.
DS_땅에묻힘,DS_땅에묻힘,dream_concept,,dream,DS_땅에묻힘 conceptual alias node.
DS_말,DS_말,dream_concept,,dream,DS_말 conceptual alias node.
DS_무덤,DS_무덤,dream_concept,,dream,DS_무덤 conceptual alias node.
DS_무지개,DS_무지개,dream_concept,,dream,DS_무지개 conceptual alias node.
DS_문,DS_문,dream_concept,,dream,DS_문 conceptual alias node.
DS_문_닫힘,DS_문_닫힘,dream_concept,,dream,DS_문_닫힘 conceptual alias node.
DS_문_열림,DS_문_열림,dream_concept,,dream,DS_문_열림 conceptual alias node.
DS_물_맑은,DS_물_맑은,dream_alias,DS_물,dream,DS_물_맑은 alias of DS_물.
DS_물_탁한,DS_물_탁한,dream_alias,DS_물,dream,DS_물_탁한 alias of DS_물.
DS_물에빠짐,DS_물에빠짐,dream_concept,,dream,DS_물에빠짐 conceptual alias node.
DS_바람,DS_바람,dream_concept,,dream,DS_바람 conceptual alias node.
DS_배_침몰,DS_배_침몰,dream_concept,,dream,DS_배_침몰 conceptual alias node.
DS_배_탈것,DS_배_탈것,dream_concept,,dream,DS_배_탈것 conceptual alias node.
DS_배우자,DS_배우자,dream_concept,,dream,DS_배우자 conceptual alias node.
DS_백호,DS_백호,dream_concept,,dream,DS_백호 conceptual alias node.
DS_번개,DS_번개,dream_concept,,dream,DS_번개 conceptual alias node.
DS_법정,DS_법정,dream_concept,,dream,DS_법정 conceptual alias node.
DS_별,DS_별,dream_concept,,dream,DS_별 conceptual alias node.
DS_병원,DS_병원,dream_concept,,dream,DS_병원 conceptual alias node.
DS_봄,DS_봄,dream_concept,,dream,DS_봄 conceptual alias node.
DS_봉황,DS_봉황,dream_concept,,dream,DS_봉황 conceptual alias node.
DS_부모,DS_부모,dream_concept,,dream,DS_부모 conceptual alias node.
DS_부하,DS_부하,dream_concept,,dream,DS_부하 conceptual alias node.
DS_불_통제,DS_불_통제,dream_alias,DS_불,dream,DS_불_통제 alias of DS_불.
DS_불_폭발,DS_불_폭발,dream_alias,DS_불,dream,DS_불_폭발 alias of DS_불.
DS_불에탐,DS_불에탐,dream_concept,,dream,DS_불에탐 conceptual alias node.
DS_비밀발각,DS_비밀발각,dream_concept,,dream,DS_비밀발각 conceptual alias node.
DS_비행기,DS_비행기,dream_concept,,dream,DS_비행기 conceptual alias node.
DS_사찰,DS_사찰,dream_alias,DS_building_church,dream,DS_사찰 alias of DS_building_church.
DS_상사,DS_상사,dream_concept,,dream,DS_상사 conceptual alias node.
